Timestamp,PM2.5µg/m³,PM10µg/m³,O₃µg/m³,NO₂µg/m³,SO₂µg/m³,COµg/m³
2024-12-03 16:00:00,39.5,66.0,22.0,75.4,5.5,572.5
2024-12-03 18:00:00,32.3,52.0,26.0,47.6,1.2,229.0
2024-12-03 20:00:00,30.4,60.0,21.0,57.1,0.8,229.0
2024-12-03 21:00:00,39.0,54.0,15.0,68.6,3.1,801.5
2024-12-03 22:00:00,30.6,62.0,12.0,67.3,5.0,1030.5
2024-12-03 23:00:00,29.8,63.0,8.0,64.7,4.5,916.0
2024-12-04 00:00:00,30.9,60.0,5.0,61.5,5.0,916.0
2024-12-04 01:00:00,25.2,60.0,2.0,61.5,5.0,916.0
2024-12-04 02:00:00,29.1,60.0,2.0,61.5,5.0,916.0
2024-12-04 03:00:00,24.4,72.0,2.0,51.1,2.6,458.0
2024-12-04 04:00:00,22.6,54.0,1.0,57.6,3.3,744.3
2024-12-04 05:00:00,25.6,44.0,0.0,56.4,3.3,687.0
2024-12-04 06:00:00,29.1,44.0,60.9,4.2,916.0,0.0
2024-12-04 07:00:00,26.7,30.0,63.5,5.2,1145.0,0.0
2024-12-04 08:00:00,24.9,29.0,65.2,5.8,801.5,0.0
2024-12-04 09:00:00,22.6,28.0,2.0,71.6,6.8,1488.5
2024-12-04 10:00:00,21.4,28.0,6.0,72.0,7.9,1832.0
2024-12-04 11:00:00,28.9,31.0,12.0,64.7,5.8,1145.0
2024-12-04 12:00:00,38.7,45.0,18.0,47.6,2.6,458.0
2024-12-04 13:00:00,43.4,48.0,20.0,54.5,3.5,343.5
