Timestamp,PM2.5 µg/m³,PM10 µg/m³,O₃ µg/m³,NO₂ µg/m³,SO₂ µg/m³,CO µg/m³
2024-12-05 10:00:00,16.8,31.0,1.0,69.0,5.9,1202.3
2024-12-05 11:00:00,32.1,37.0,6.0,72.4,6.3,1374.0
2024-12-05 12:00:00,38.2,42.0,10.0,67.9,5.0,916.0
2024-12-05 13:00:00,39.6,55.0,10.0,54.3,3.7,572.5
2024-12-05 14:00:00,43.4,55.0,13.0,65.8,3.7,572.5
2024-12-05 15:00:00,45.0,68.0,18.0,83.1,4.7,572.5
2024-12-05 16:00:00,44.1,78.0,19.0,78.4,4.7,458.0
2024-12-05 18:00:00,40.7,73.0,22.0,69.9,3.9,343.5
2024-12-05 20:00:00,40.3,73.0,22.0,69.9,3.9,343.5
2024-12-05 21:00:00,39.6,73.0,22.0,69.9,3.9,343.5
2024-12-05 22:00:00,40.4,78.0,16.0,76.5,6.0,458.0
2024-12-05 23:00:00,41.7,76.0,10.0,75.0,6.8,458.0
2024-12-06 00:00:00,35.6,77.0,6.0,59.1,6.8,343.5
2024-12-06 01:00:00,39.0,77.0,6.0,59.1,6.8,343.5
2024-12-06 02:00:00,34.0,77.0,2.0,59.1,6.8,343.5
2024-12-06 04:00:00,26.9,51.0,1.0,60.9,2.9,572.5
2024-12-06 05:00:00,23.7,36.0,0.0,57.5,2.5,515.3
2024-12-06 06:00:00,26.4,36.0,1.0,57.5,1.1,515.3
2024-12-06 07:00:00,28.0,34.0,1.0,62.4,4.5,801.5
2024-12-06 08:00:00,30.0,36.0,1.0,63.5,4.2,801.5
2024-12-06 09:00:00,29.4,34.0,2.0,70.5,7.9,1259.5
2024-12-06 10:00:00,31.0,37.0,2.0,70.9,6.0,1202.3
2024-12-06 11:00:00,38.4,59.0,5.0,82.2,7.1,1259.5
2024-12-06 12:00:00,41.7,64.0,7.0,79.5,6.3,916.0
2024-12-06 13:00:00,42.8,69.0,9.0,73.7,5.2,687.0
2024-12-06 14:00:00,43.4,65.0,12.0,74.6,5.2,572.5
2024-12-06 15:00:00,43.6,71.0,16.0,75.6,3.9,572.5
2024-12-06 16:00:00,43.8,74.0,17.0,76.7,3.9,572.5
2024-12-06 18:00:00,43.8,68.0,17.0,63.4,1.6,286.3
2024-12-06 20:00:00,47.0,74.0,14.0,65.2,1.4,400.8
2024-12-06 20:00:00,49.0,74.0,6.0,81.8,2.4,687.0
2024-12-06 21:00:00,44.0,65.0,16.0,76.5,3.1,916.0
2024-12-06 22:00:00,44.0,62.0,12.0,74.8,3.9,1030.5
2024-12-06 23:00:00,42.0,51.0,8.0,74.6,2.2,1145.0
2024-12-07 00:00:00,41.0,42.0,2.0,69.2,0.8,1145.0
2024-12-07 01:00:00,32.3,42.0,2.0,69.2,0.8,1145.0
2024-12-07 02:00:00,30.1,42.0,2.0,69.2,0.8,1145.0
2024-12-07 03:00:00,28.3,65.0,1.0,67.3,6.8,1717.5
2024-12-07 04:00:00,25.0,53.0,1.0,71.3,4.9,1316.8
2024-12-07 05:00:00,27.9,50.0,0.0,69.0,4.9,1202.3
2024-12-07 06:00:00,26.7,37.0,1.0,70.3,8.7,1431.3
2024-12-07 07:00:00,24.0,38.0,1.0,70.2,6.2,1259.5
2024-12-07 11:00:00,35.5,39.0,14.0,75.2,6.3,1316.8
2024-12-07 12:00:00,36.1,30.0,17.0,76.0,5.0,687.0
2024-12-07 13:00:00,29.7,52.0,25.0,76.0,2.4,687.0
2024-12-07 14:00:00,34.0,44.0,34.0,66.0,2.2,572.5
2024-12-07 15:00:00,37.9,45.0,31.0,64.9,2.5,572.5
2024-12-07 16:00:00,39.4,58.0,30.0,62.2,2.9,572.5
2024-12-07 20:00:00,21.0,55.0,11.0,67.1,3.7,572.5
2024-12-07 21:00:00,20.7,87.0,12.0,65.1,5.5,1259.5
2024-12-07 22:00:00,20.4,78.0,12.0,60.2,4.2,916.0
2024-12-07 23:00:00,25.5,69.0,8.0,61.9,1.7,572.5
2024-12-08 00:00:00,23.0,53.0,8.0,62.8,3.1,687.0
2024-12-08 01:00:00,21.3,53.0,8.0,62.8,3.1,687.0
2024-12-08 02:00:00,19.7,53.0,8.0,62.8,3.1,687.0
2024-12-08 03:00:00,16.7,50.0,8.0,61.5,4.7,1030.5
2024-12-08 04:00:00,23.2,43.0,9.0,57.1,2.6,629.8
2024-12-08 05:00:00,28.0,41.0,12.0,46.2,0.8,343.5
2024-12-08 06:00:00,25.0,36.0,13.0,41.2,0.7,343.5
2024-12-08 07:00:00,26.0,31.0,15.0,46.2,0.8,400.8
2024-12-08 08:00:00,23.5,25.0,9.0,53.6,1.2,400.8
2024-12-08 09:00:00,18.4,25.0,4.0,55.0,1.3,458.0
2024-12-08 10:00:00,19.8,24.0,7.0,51.2,1.6,572.5
2024-12-08 11:00:00,26.2,20.0,9.0,52.0,2.4,687.0
2024-12-08 12:00:00,28.6,24.0,10.0,57.3,3.1,801.5
