Timestamp,PM2.5 µg/m³,PM10 µg/m³,O₃ µg/m³,NO₂ µg/m³,SO₂ µg/m³,CO µg/m³
2024-12-08 13:00:00,25.3,21.0,12.0,58.8,3.1,687.0
2024-12-08 14:00:00,20.3,28.0,13.0,53.0,2.6,572.5
2024-12-08 15:00:00,11.6,35.0,24.0,41.7,2.1,343.5
2024-12-08 16:00:00,7.5,37.0,28.0,35.5,1.8,343.5
2024-12-08 18:00:00,7.2,14.0,19.0,62.0,1.4,458.0
2024-12-08 20:00:00,13.1,23.0,20.0,61.7,1.8,572.5
2024-12-08 21:00:00,15.1,35.0,16.0,57.5,1.6,458.0
2024-12-08 22:00:00,15.0,29.0,6.0,54.0,1.3,458.0
2024-12-08 23:00:00,14.2,29.0,6.0,51.5,1.1,458.0
2024-12-09 00:00:00,17.1,27.0,8.0,53.2,1.6,458.0
2024-12-09 01:00:00,17.0,27.0,8.0,53.2,1.6,458.0
2024-12-09 02:00:00,16.7,27.0,8.0,53.2,1.6,458.0
2024-12-09 03:00:00,11.5,19.0,10.0,34.2,0.8,458.0
2024-12-09 04:00:00,7.8,19.0,8.0,38.7,0.8,458.0
2024-12-09 05:00:00,3.7,16.0,13.0,36.0,0.7,343.5
2024-12-09 06:00:00,2.9,15.0,29.0,41.6,1.1,343.5
2024-12-09 07:00:00,3.0,15.0,26.0,41.6,1.3,343.5
2024-12-09 08:00:00,3.0,13.0,28.0,67.1,1.6,343.5
2024-12-09 09:00:00,3.0,18.0,27.0,48.9,0.8,343.5
2024-12-09 10:00:00,3.0,12.0,24.0,71.6,2.9,458.0
2024-12-09 11:00:00,3.0,18.0,26.0,52.1,2.4,458.0
2024-12-09 12:00:00,2.5,18.0,34.0,41.0,1.6,458.0
2024-12-09 13:00:00,2.6,18.0,41.0,12.2,0.8,458.0
2024-12-09 14:00:00,2.6,18.0,56.0,12.2,1.1,458.0
2024-12-09 15:00:00,2.7,18.0,58.0,5.3,0.5,458.0
2024-12-10 07:00:00,3.4,13.0,4.0,65.2,1.3,458.0
2024-12-10 08:00:00,3.6,22.0,4.0,65.8,1.2,343.5
2024-12-10 09:00:00,3.8,20.0,4.0,66.9,2.6,343.5
2024-12-10 10:00:00,3.5,22.0,2.0,63.9,3.9,572.5
2024-12-10 11:00:00,2.2,20.0,16.0,57.2,2.4,744.3
2024-12-10 12:00:00,3.1,34.0,34.0,57.2,1.0,286.3
2024-12-10 13:00:00,3.5,30.0,44.0,57.2,1.1,114.5
2024-12-10 14:00:00,3.9,21.0,52.0,24.3,0.8,114.5
2024-12-10 15:00:00,4.0,16.0,58.0,16.5,1.3,57.3
2024-12-10 16:00:00,4.0,16.0,62.0,3.4,1.1,114.5
2024-12-10 18:00:00,3.4,8.0,73.0,10.3,0.8,114.5
2024-12-10 20:00:00,3.9,8.0,71.0,25.5,0.8,114.5
2024-12-10 21:00:00,4.1,8.0,40.0,55.7,0.8,229.0
2024-12-10 22:00:00,4.4,8.0,14.0,65.1,1.3,572.5
2024-12-11 07:00:00,2.7,9.0,10.0,66.9,2.4,458.0
2024-12-11 08:00:00,2.7,9.0,14.0,62.0,1.3,400.8
2024-12-11 09:00:00,3.3,14.0,9.0,74.5,4.2,572.5
2024-12-11 10:00:00,3.7,21.0,16.0,79.9,5.2,458.0
2024-12-11 11:00:00,5.0,27.0,19.0,53.2,2.9,687.0
2024-12-11 12:00:00,5.3,34.0,21.0,53.2,1.3,343.5
2024-12-11 13:00:00,5.6,17.0,38.0,35.0,1.1,343.5
2024-12-11 14:00:00,5.3,23.0,26.0,25.6,1.3,343.5
2024-12-11 15:00:00,5.3,27.0,38.0,19.2,1.3,229.0
2024-12-11 16:00:00,5.4,27.0,48.0,18.6,1.1,229.0
2024-12-11 18:00:00,6.0,36.0,26.0,50.3,1.2,286.3
2024-12-11 20:00:00,7.0,41.0,18.0,55.3,1.3,400.8
2024-12-11 21:00:00,7.0,43.0,24.0,65.5,1.2,801.5
2024-12-11 22:00:00,6.0,45.0,6.0,70.5,4.5,1030.5
2024-12-11 23:00:00,5.1,47.0,8.0,70.1,5.5,1145.0
2024-12-12 00:00:00,5.0,46.0,5.0,68.4,5.8,1030.5
2024-12-12 01:00:00,5.0,46.0,16.0,68.4,5.8,1030.5
2024-12-12 02:00:00,4.2,46.0,16.0,68.4,5.8,1030.5
2024-12-12 03:00:00,5.0,30.0,8.0,63.5,3.7,687.0
2024-12-12 04:00:00,4.9,24.0,2.0,63.9,4.5,687.0
2024-12-12 05:00:00,6.0,28.0,0.0,69.8,5.6,858.8
2024-12-12 06:00:00,5.6,28.0,2.0,68.8,6.3,801.5
2024-12-12 07:00:00,5.9,26.0,3.0,70.3,6.8,1030.5
2024-12-12 08:00:00,6.0,30.0,3.0,75.2,7.9,1374.0
2024-12-12 09:00:00,5.2,30.0,4.0,76.3,8.1,1374.0
2024-12-12 10:00:00,6.0,35.0,3.0,73.9,7.6,1488.5
2024-12-12 11:00:00,6.2,37.0,7.0,68.1,6.0,1145.0
2024-12-12 12:00:00,5.5,33.0,20.0,69.7,2.6,458.0
2024-12-12 13:00:00,5.5,41.0,20.0,60.7,1.6,343.5
2024-12-12 14:00:00,5.6,32.0,28.0,54.0,1.8,229.0
2024-12-12 15:00:00,6.8,39.0,33.0,55.7,2.4,343.5
