Timestamp,PM2.5µg/m³,PM10µg/m³,O₃µg/m³,NO₂µg/m³,SO₂µg/m³,COµg/m³
2024-11-25 18:00:00,4.4,16.0,50.0,31.0,0.4,229.0
2024-11-25 20:00:00,4.7,16.0,47.0,31.0,0.4,229.0
2024-11-25 20:00:00,4.3,17.0,42.0,50.8,0.8,171.8
2024-11-25 21:00:00,3.8,22.0,35.0,62.8,1.1,229.0
2024-11-25 22:00:00,2.4,23.0,41.0,27.3,0.8,229.0
2024-11-25 23:00:00,2.4,18.0,42.0,17.7,0.5,171.8
2024-11-26 00:00:00,2.2,14.0,44.0,16.4,0.5,114.5
2024-11-26 01:00:00,2.2,14.0,48.0,16.4,0.5,114.5
2024-11-26 02:00:00,2.1,14.0,38.0,16.4,0.5,114.5
2024-11-26 03:00:00,2.1,13.0,52.0,20.1,0.5,114.5
2024-11-26 04:00:00,1.9,10.0,52.0,13.4,0.5,114.5
2024-11-26 05:00:00,1.8,10.0,49.0,14.5,0.3
2024-11-26 06:00:00,1.7,4.0,47.0,15.2,0.3
2024-11-26 07:00:00,1.6,3.0,49.0,13.4,0.4
2024-11-26 08:00:00,1.7,4.0,62.0,14.9,0.4
2024-11-26 09:00:00,1.7,3.0,56.0,24.4,0.8,229.0
2024-11-26 10:00:00,2.0,4.0,57.0,22.2,0.5,229.0
2024-11-26 11:00:00,2.1,10.0,60.0,19.6,0.5,229.0
2024-11-26 12:00:00,1.9,6.0,58.0,20.1,0.4,229.0
2024-11-26 13:00:00,1.5,5.0,61.0,13.8,0.4,57.3
2024-11-26 14:00:00,1.3,8.0,64.0,13.4,0.8,114.5
2024-11-26 15:00:00,1.2,5.0,63.0,16.5,0.8,114.5
2024-11-26 16:00:00,1.2,4.0,54.0,16.0,0.5,57.3
2024-11-26 18:00:00,1.5,2.0,55.0,18.7,0.5,57.3
2024-11-26 20:00:00,3.0,5.0,52.0,24.5,0.7,114.5
2024-11-26 20:00:00,3.3,5.0,52.0,27.9,0.4,114.5
2024-11-26 21:00:00,2.0,7.0,44.0,33.9,0.4,171.8
2024-11-26 23:00:00,1.4,5.0,32.0,49.1,0.5,229.0
2024-11-27 00:00:00,1.4,9.0,32.0,61.1,1.3,458.0
2024-11-27 01:00:00,1.9,9.0,32.0,61.1,1.3,458.0
2024-11-27 02:00:00,3.2,9.0,32.0,61.1,1.3,458.0
